Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds
901,3441,310,91,37,9999,0,990,0,4137,4095,2,2,2419,441,2000,1,1,74,72,45,0,73,0,6,0,1440,1584,1623,722,0,16,33,30,16,26,9,16,9,10,18,0,0,10459,408,0,264,39,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1902,3441,310,91,37,9999,0,918,0,4184,3840,2,2,2419,441,2000,1,1,73,72,47,0,73,0,5,0,1440,1584,1643,1293,0,10,42,35,18,36,5,5,10,10,22,0,0,10459,408,0,264,39,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2902,3441,310,91,37,9999,0,988,0,4184,4133,2,2,2419,441,2000,1,1,73,72,47,0,73,0,4,0,1440,1584,1622,1295,0,9,26,39,31,38,5,9,9,14,22,0,0,10459,408,0,264,39,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3902,3441,310,91,37,9999,0,863,0,4189,3615,2,2,1171,441,1353,1,1,73,72,47,0,65,7,4,0,1440,1584,998,1299,0,5,42,30,35,23,5,5,5,10,18,0,0,10459,408,0,264,39,304,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4902,3441,310,91,37,9999,0,853,0,4189,3573,2,2,1171,441,1353,1,1,66,72,47,0,73,0,5,0,1440,1584,1010,1303,0,35,39,30,22,26,27,34,35,13,12,0,0,10459,408,0,264,39,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5902,3441,310,91,37,9999,0,917,0,4189,3841,2,2,1171,441,1804,1,1,64,72,47,0,57,16,4,0,1440,1584,966,1294,0,14,47,33,33,30,5,10,14,10,17,0,0,10459,408,0,264,39,304,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6902,3441,310,91,37,9999,0,908,0,4189,3803,2,2,1171,441,1804,1,1,73,72,47,0,63,9,4,0,1440,1584,1443,1318,0,20,38,35,35,16,14,20,19,13,21,0,0,10459,408,0,264,39,304,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7902,3441,310,91,37,9999,0,1011,0,4189,4235,2,2,1171,441,1804,1,1,62,72,46,0,69,4,15,0,1440,1584,1419,1317,0,14,35,15,31,23,5,10,14,9,21,0,0,10459,408,0,264,39,304,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8902,3441,310,91,37,9999,0,1023,0,4189,4285,2,2,1382,441,1555,1,1,72,72,47,0,73,0,4,0,1440,1584,1556,1313,0,22,33,22,21,25,13,22,19,9,22,0,0,10459,408,0,264,39,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9903,3441,310,91,37,9999,0,1289,0,4189,5399,3,2,1478,441,2000,1,1,50,72,46,0,42,30,5,0,1440,1584,1927,1311,0,28,31,47,39,40,14,16,28,10,25,0,0,10459,408,0,264,39,304,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10902,3441,310,91,37,9999,0,1056,0,4189,4423,4,2,1478,441,2000,1,1,69,72,46,0,69,0,4,0,1440,1584,2149,1319,0,81,50,30,43,42,81,52,59,5,26,0,0,10459,408,0,264,39,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11902,3441,310,91,37,9999,0,1124,0,4189,4708,4,2,1478,441,2000,1,1,72,72,44,0,69,0,5,0,1440,1584,1992,1319,0,69,33,25,23,35,69,31,22,5,10,0,0,10459,408,0,264,39,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12903,3441,310,91,37,9999,0,1312,0,4189,5495,4,2,1478,441,1804,1,1,16,72,39,0,8,62,3,0,1440,1584,2081,1333,0,44,42,28,28,30,39,44,10,13,14,0,0,10459,408,0,264,39,304,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13903,3441,310,91,37,9999,0,1384,0,4152,5746,4,2,1478,441,1804,1,1,44,72,43,0,52,20,16,0,1440,1584,8086,1484,0,30,43,51,35,33,11,30,25,9,70,0,0,10459,408,0,264,39,304,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14903,3441,310,91,37,9999,0,1314,0,4152,5455,4,2,1382,441,2000,1,1,73,72,47,0,71,0,85,0,1440,1584,8348,1478,0,25,35,38,31,28,21,18,25,14,72,0,0,10459,408,0,264,39,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15903,3441,310,91,37,9999,0,1390,0,4152,5771,3,2,1382,441,2000,1,1,72,72,47,0,62,0,18,0,1440,1584,8372,1496,0,33,55,37,48,36,33,19,33,9,72,0,0,10459,408,0,264,39,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16904,3441,310,91,37,9999,0,1327,0,4152,5509,3,2,1171,441,2000,1,1,73,72,47,0,70,0,6,0,1440,1584,8370,1499,0,31,42,41,31,28,21,22,31,5,72,0,0,10459,408,0,264,39,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17903,3441,310,91,37,9999,0,1384,0,4152,5746,2,2,1171,441,2000,1,1,72,72,47,0,53,2,4,0,1440,1584,8391,1503,0,33,25,56,33,28,23,25,33,9,72,0,0,10459,408,0,264,39,304,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18903,3441,310,91,37,9999,0,1385,0,4152,5750,2,2,1171,441,2000,1,1,73,72,47,0,27,0,4,0,1440,1584,8406,1493,0,30,36,42,36,35,28,28,30,9,72,0,0,10459,408,0,264,39,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20076,2550,1231,91,37,9999,0,1393,0,4152,5783,2,2,1171,441,2000,1,1,73,72,47,0,19,0,4,0,1440,1584,8379,1511,0,39,27,42,27,26,30,5,39,18,72,0,0,11798,1350,1,1164,49,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20904,2550,1231,91,37,9999,0,1313,0,4152,5451,2,2,1171,441,2000,1,1,73,72,47,0,23,0,3,0,1440,1584,8397,1496,0,30,54,38,54,34,30,27,30,10,72,0,0,11798,1350,1,1164,49,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21904,2550,1231,91,37,9999,0,1338,0,4152,5555,2,2,1171,441,2000,1,1,73,72,47,0,19,0,3,0,1440,1584,8111,1494,0,33,43,35,43,40,33,19,31,9,71,0,0,11798,1350,1,1164,49,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22904,2550,1231,91,37,9999,0,1336,0,4152,5547,2,2,1171,441,2000,1,1,72,72,47,0,66,0,71,0,1440,1584,8065,1481,0,40,39,39,28,33,19,37,40,14,70,0,0,11798,1350,1,1164,49,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23906,2550,1231,91,37,9999,0,1291,0,4156,5365,2,2,1171,441,2000,1,1,73,72,47,0,65,0,19,0,1440,1584,8081,1482,0,35,45,45,33,28,5,35,31,14,70,0,0,11798,1350,1,1164,49,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24904,2550,1231,91,37,9999,0,1358,0,4156,5643,2,2,1171,441,2000,1,1,73,72,47,0,70,0,60,0,1440,1584,7758,1702,345,33,65,52,69,66,23,33,25,10,72,0,0,11798,1350,1,1164,49,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25904,2550,1231,91,37,9999,0,1354,0,4156,5627,2,2,1171,441,2000,1,1,73,72,47,0,54,0,90,0,1440,1584,8239,1493,0,39,44,47,25,16,27,34,39,9,71,0,0,11798,1350,1,1164,49,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26904,2550,1231,91,37,9999,0,1361,0,4156,5656,2,2,1171,441,2000,1,1,73,72,47,0,56,0,56,0,1440,1584,7939,1477,0,30,38,22,34,25,10,25,30,10,69,0,0,11798,1350,1,1164,49,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27904,2550,1231,91,37,9999,0,1276,0,4156,5303,2,2,1171,441,2000,1,1,73,72,47,0,73,0,53,0,1440,1584,7460,1469,0,30,39,36,33,40,25,19,30,10,66,0,0,11798,1350,1,1164,49,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28904,2550,1231,91,37,9999,0,1284,0,4156,5336,2,2,1171,441,2000,1,1,73,72,47,0,73,0,55,0,1440,1584,7551,1473,0,28,45,36,30,23,19,26,28,17,66,0,0,11798,1350,1,1164,49,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29904,2550,1231,91,37,9999,0,1274,0,4156,5294,2,2,1171,441,2000,1,1,73,72,47,0,73,0,53,0,1440,1584,7339,1452,0,36,38,54,37,25,21,19,36,9,65,0,0,11798,1350,1,1164,49,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30904,2550,1231,91,37,9999,0,1240,0,4156,5153,2,2,1171,441,2000,1,1,73,72,47,0,73,0,51,0,1440,1584,7402,1435,0,31,33,37,30,16,31,14,26,0,65,0,0,11798,1350,1,1164,49,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31904,2550,1231,91,37,9999,0,1267,0,4156,5265,2,2,1171,441,2000,1,1,73,72,47,0,73,0,53,0,1440,1584,7379,1428,0,30,36,21,30,34,30,14,25,9,65,0,0,11798,1350,1,1164,49,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32905,2550,1231,91,37,9999,0,1284,0,4156,5336,2,2,1171,441,2000,1,1,73,72,47,0,72,0,46,0,1440,1584,7529,1444,0,30,31,31,33,30,21,30,26,14,66,0,0,11798,1350,1,1164,49,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33905,2550,1231,91,37,9999,0,1313,0,4153,5452,2,2,1171,441,2000,1,1,72,72,47,0,68,0,164,0,1440,1584,7989,1488,0,31,42,41,21,34,18,31,26,5,69,0,0,11798,1350,1,1164,49,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34908,2550,1231,91,37,9999,0,1279,0,4153,5311,2,2,1171,441,2000,1,1,73,72,47,0,73,0,239,0,1440,1584,7487,1446,0,31,36,40,33,27,31,10,26,9,66,0,0,11798,1350,1,1164,49,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35905,2550,1231,91,37,9999,0,1270,0,4153,5274,2,2,1171,441,2000,1,1,73,72,47,0,73,0,64,0,1440,1584,7726,1451,0,33,38,31,31,41,14,33,33,5,68,0,0,11798,1350,1,1164,49,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36905,2550,1231,91,37,9999,0,1328,0,4153,5515,2,2,1171,441,2000,1,1,73,72,47,0,73,0,25,0,1440,1584,7675,1456,0,33,38,25,36,28,14,25,33,13,67,0,0,11798,1350,1,1164,49,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37905,2550,1231,91,37,9999,0,1356,0,4153,5631,2,2,1171,441,2000,1,1,73,72,47,0,72,0,34,0,1440,1584,7502,1450,0,34,42,36,28,44,21,34,25,17,66,0,0,11798,1350,1,1164,49,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38905,2550,1231,91,37,9999,0,1263,0,4153,5245,2,2,1171,441,2000,1,1,73,72,47,0,73,0,19,0,1440,1584,7357,1438,0,31,41,38,27,25,10,19,31,0,65,0,0,11798,1350,1,1164,49,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40091,2546,1232,91,37,9999,0,1292,0,4153,5365,2,2,1171,441,2000,1,1,73,72,47,0,73,0,39,0,1440,1584,7616,1437,0,34,25,39,33,25,34,5,25,13,66,0,0,11798,1351,2,1165,48,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40905,2546,1232,91,37,9999,0,1280,0,4153,5315,2,2,1171,441,2000,1,1,73,72,47,0,72,0,39,0,1440,1584,7684,1435,0,28,56,23,47,22,28,22,21,9,67,0,0,11798,1351,2,1165,48,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41905,2546,1232,91,37,9999,0,1476,0,4153,6129,2,2,1171,441,2000,1,1,73,72,47,0,73,0,22,0,1440,1584,7620,1441,0,34,39,36,42,21,34,14,25,10,66,0,0,11798,1351,2,1165,48,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42905,2546,1232,91,37,9999,0,1384,0,4153,5747,2,2,1171,441,2000,1,1,73,72,47,0,73,0,19,0,1440,1584,7683,1437,0,33,36,31,23,30,33,5,25,5,68,0,0,11798,1351,2,1165,48,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43905,2546,1232,91,37,9999,0,1367,0,4147,5668,2,2,1171,441,2000,1,1,73,72,47,0,73,0,11,0,1440,1584,7433,1440,0,30,31,44,16,39,27,30,28,5,66,0,0,11798,1351,2,1165,48,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44905,2546,1232,91,37,9999,0,1260,0,4147,5225,2,2,1171,441,2000,1,1,73,72,47,0,73,0,19,0,1440,1584,7569,1439,0,28,46,19,25,33,28,10,28,5,66,0,0,11798,1351,2,1165,48,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45905,2546,1232,91,37,9999,0,1214,0,4147,5034,2,2,1171,441,2000,1,1,73,72,47,0,73,0,89,0,1440,1584,7332,1442,0,26,42,33,43,44,19,19,26,10,65,0,0,11798,1351,2,1165,48,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46905,2546,1232,91,37,9999,0,1288,0,4147,5341,2,2,1171,441,2000,1,1,73,72,47,0,72,0,36,0,1440,1584,6297,1497,0,34,43,35,39,36,23,10,34,10,58,0,0,11798,1351,2,1165,48,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47906,2546,1232,91,37,9999,0,1280,0,4147,5308,2,2,1171,441,2000,1,1,73,72,47,0,73,0,23,0,1440,1584,6302,1500,0,30,33,33,27,23,30,22,21,9,58,0,0,11798,1351,2,1165,48,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48906,2546,1232,91,37,9999,0,1230,0,4147,5100,2,2,1171,441,2000,1,1,73,72,47,0,73,0,11,0,1440,1584,6306,1495,0,23,45,35,31,27,21,18,23,13,58,0,0,11798,1351,2,1165,48,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49906,2546,1232,91,37,9999,0,1225,0,4147,5080,2,2,1171,441,2000,1,1,73,72,47,0,73,0,25,0,1440,1584,6352,1510,0,34,35,54,39,28,34,25,28,5,58,0,0,11798,1351,2,1165,48,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50906,2546,1232,91,37,9999,0,1241,0,4147,5146,2,2,1171,441,2000,1,1,73,72,47,0,73,0,17,0,1440,1584,6343,1505,0,33,46,38,25,33,19,18,33,5,58,0,0,11798,1351,2,1165,48,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51906,2546,1232,91,37,9999,0,1242,0,4147,5150,2,2,1171,441,2000,1,1,73,72,47,0,73,0,17,0,1440,1584,6325,1488,0,25,38,36,31,37,15,14,25,9,58,0,0,11798,1351,2,1165,48,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52906,2546,1232,91,37,9999,0,1218,0,4147,5051,2,2,1171,441,2000,1,1,72,72,47,0,73,0,26,0,1440,1584,6295,1491,0,26,40,39,36,36,22,26,25,14,57,0,0,11798,1351,2,1165,48,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53906,2546,1232,91,37,9999,0,1232,0,4156,5120,2,2,1171,441,2000,1,1,73,72,47,0,73,0,88,0,1440,1584,6157,1479,0,27,39,33,30,33,16,27,25,13,56,0,0,11798,1351,2,1165,48,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54906,2546,1232,91,37,9999,0,1187,0,4160,4937,2,2,1171,441,2000,1,1,73,72,47,0,73,0,41,0,1440,1584,6037,1456,0,31,39,39,31,17,31,26,19,10,55,0,0,11798,1351,2,1165,48,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55908,2546,1232,91,37,9999,0,1216,0,4160,5058,2,2,1171,441,2000,1,1,73,72,47,0,73,0,30,0,1440,1584,6123,1473,0,28,59,31,54,33,28,22,23,9,56,0,0,11798,1351,2,1165,48,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56907,2546,1232,91,37,9999,0,1261,0,4160,5245,2,2,1171,441,2000,1,1,73,72,47,0,73,0,16,0,1440,1584,6225,1463,0,25,39,38,25,27,25,0,21,5,57,0,0,11798,1351,2,1165,48,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57907,2546,1232,91,37,9999,0,1318,0,4160,5482,2,2,1171,441,2000,1,1,72,72,47,0,73,0,23,0,1440,1584,6196,1476,0,36,35,36,25,33,28,14,36,21,52,0,0,11798,1351,2,1165,48,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58906,2546,1232,91,37,9999,0,1268,0,4160,5274,2,2,1171,441,2000,1,1,72,72,47,0,67,2,50,0,1440,1584,6256,1485,0,25,56,31,30,39,21,25,21,5,57,0,0,11798,1351,2,1165,48,1214,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60089,2548,1234,91,37,9999,0,1213,0,4160,5046,2,2,1171,441,2000,1,1,73,72,47,0,73,1,42,0,1440,1584,6397,1466,0,36,45,39,33,28,21,36,17,5,58,0,0,11798,1353,2,1167,49,1216,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60907,2548,1234,91,37,9999,0,1485,0,4160,6177,2,2,1171,441,2000,1,1,73,72,47,0,73,0,23,0,1440,1584,6171,1473,0,28,36,52,44,28,28,10,21,14,56,0,0,11798,1353,2,1167,49,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61907,2548,1234,91,37,9999,0,1224,0,4160,5091,2,2,1478,441,1804,1,1,73,72,47,0,66,1,23,0,1440,1584,6081,1538,0,68,50,36,48,34,31,68,27,10,33,0,0,11798,1353,2,1167,49,1216,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62907,2548,1234,91,37,9999,0,1410,0,4160,5865,4,2,1478,441,1804,1,1,68,72,45,0,23,27,17,0,1440,1584,6097,1488,0,50,39,44,33,26,38,50,35,14,16,0,0,11798,1353,2,1167,49,1216,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63907,2548,1234,91,37,9999,0,1449,0,4140,5998,4,2,1478,441,1804,1,1,27,72,39,0,27,42,19,0,1440,1584,6360,1612,0,28,44,38,11,34,10,28,25,13,59,0,0,11798,1353,2,1167,49,1216,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64907,2548,1234,91,37,9999,0,1424,0,4140,5895,4,2,1382,441,2000,1,1,73,72,47,0,73,0,14,0,1440,1584,6880,1611,0,28,54,23,26,39,15,28,27,9,63,0,0,11798,1353,2,1167,49,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65907,2548,1234,91,37,9999,0,1428,0,4140,5911,3,2,1382,441,2000,1,1,73,72,47,0,70,0,14,0,1440,1584,6137,1602,0,28,12,36,36,16,5,28,28,5,58,0,0,11798,1353,2,1167,49,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66908,2548,1234,91,37,9999,0,1432,0,4140,5928,3,2,1171,441,2000,1,1,72,72,47,0,68,0,12,0,1440,1584,5888,1579,0,31,36,55,35,34,11,28,31,13,57,0,0,11798,1353,2,1167,49,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67907,2548,1234,91,37,9999,0,1423,0,4140,5891,2,2,1171,441,2000,1,1,73,72,47,0,72,0,57,0,1440,1584,5580,1604,0,28,28,50,38,25,23,28,22,5,53,0,0,11798,1353,2,1167,49,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68907,2548,1234,91,37,9999,0,1466,0,4140,6069,2,2,1171,441,2000,1,1,73,72,47,0,73,0,21,0,1440,1584,6727,1537,0,34,30,42,34,39,34,11,30,10,62,0,0,11798,1353,2,1167,49,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69907,2548,1234,91,37,9999,0,1444,0,4140,5978,2,2,1171,441,2000,1,1,73,72,47,0,73,0,112,0,1440,1584,6514,1532,0,28,44,39,43,38,14,15,28,10,59,0,0,11798,1353,2,1167,49,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70908,2548,1234,91,37,9999,0,1418,0,4140,5870,2,2,1171,441,2000,1,1,73,72,47,0,73,0,87,0,1440,1584,6294,1529,0,36,42,39,26,26,10,22,36,9,58,0,0,11798,1353,2,1167,49,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71908,2548,1234,91,37,9999,0,1408,0,4140,5829,2,2,1171,441,2000,1,1,72,72,47,0,72,0,71,0,1440,1584,5521,1551,0,39,26,56,19,31,11,25,39,14,53,0,0,11798,1353,2,1167,49,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72907,2548,1234,91,37,9999,0,1412,0,4140,5845,2,2,1171,441,2000,1,1,73,72,47,0,73,0,62,0,1440,1584,5284,1537,0,36,31,56,33,26,27,28,36,9,51,0,0,11798,1353,2,1167,49,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73908,2548,1234,91,37,9999,0,1411,0,4140,5841,2,2,1171,441,2000,1,1,73,72,47,0,73,0,36,0,1440,1584,6702,1517,0,26,47,26,38,28,21,14,26,20,61,0,0,11798,1353,2,1167,49,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74907,2548,1234,90,37,9999,0,1412,0,4140,5845,2,2,1171,441,2000,1,1,73,72,47,0,72,0,106,0,1440,1584,6212,1512,0,36,44,31,40,52,25,30,36,5,58,0,0,11798,1353,2,1167,49,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75908,2548,1234,90,37,9999,0,1379,0,4140,5709,2,2,1171,441,2000,1,1,72,72,47,0,71,0,28,0,1440,1584,5716,1503,0,26,31,55,27,31,19,15,26,5,53,0,0,11798,1353,2,1167,49,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76908,2548,1234,90,37,9999,0,1418,0,4140,5870,2,2,1171,441,2000,1,1,73,72,47,0,71,0,48,0,1440,1584,5566,1492,0,31,21,42,43,33,25,10,31,13,52,0,0,11798,1353,2,1167,49,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77908,2548,1234,90,37,9999,0,1093,0,4140,4525,2,2,1171,441,1804,1,1,73,72,47,0,73,0,38,0,1440,1584,6089,1502,0,30,40,17,11,39,30,26,30,5,56,0,0,11798,1353,2,1167,49,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78908,2548,1234,90,37,9999,0,1374,0,4140,5688,3,2,1478,441,2000,1,1,67,72,47,0,49,23,20,0,1440,1584,6161,1536,0,100,39,50,34,36,13,9,100,17,13,0,0,11798,1353,2,1167,49,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80120,2175,1326,90,37,9999,0,1311,0,4140,5427,4,2,1478,441,1804,1,1,54,72,42,0,21,28,6,0,1440,1584,7633,1483,0,57,54,42,38,35,28,15,57,10,45,0,0,11590,1447,2,1256,51,1307,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80908,2175,1326,90,37,9999,0,1289,0,4140,5336,4,2,1478,441,1804,1,1,70,72,47,0,49,23,72,0,1440,1584,7839,1470,0,33,54,38,52,33,33,25,22,14,68,0,0,11590,1447,2,1256,51,1307,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81908,2175,1326,90,37,9999,0,1199,0,4140,4963,4,2,1382,441,1804,1,1,73,72,47,0,70,0,31,0,1440,1584,7112,1437,0,28,47,35,27,26,28,10,19,5,64,0,0,11590,1447,2,1256,51,1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82908,2175,1326,90,37,9999,0,1271,0,4140,5261,3,2,1382,441,1804,1,1,72,72,47,0,73,0,31,0,1440,1584,5917,1413,0,19,50,26,34,27,15,19,10,18,54,0,0,11590,1447,2,1256,51,1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83908,2175,1326,90,37,9999,0,1206,0,4154,5009,3,2,1171,441,1804,1,1,73,72,47,0,73,0,37,0,1440,1584,6593,1490,0,23,52,11,28,11,21,23,21,5,60,0,0,11590,1447,2,1256,51,1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84908,2175,1326,90,38,9999,0,1234,0,4154,5126,2,2,1171,441,1804,1,1,73,72,47,0,73,0,116,0,1440,1584,6137,1431,0,26,31,52,27,6,26,19,19,10,56,0,0,11590,1447,2,1256,51,1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85908,2175,1326,90,38,9999,0,1205,0,4154,5005,2,2,1171,441,1804,1,1,73,72,47,0,73,0,89,0,1440,1584,6263,1441,0,28,42,47,6,21,28,25,10,13,57,0,0,11590,1447,2,1256,51,1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86908,2175,1326,90,38,9999,0,1210,0,4154,5026,2,2,1171,441,1804,1,1,73,72,47,0,73,0,20,0,1440,1584,6145,1437,0,34,35,22,30,28,14,34,5,13,56,0,0,11590,1447,2,1256,51,1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
